	SRR17060816_R2_filtered.fastq.gz	SRR17060817_R2_filtered.fastq.gz	SRR17060818_R2_filtered.fastq.gz	SRR17060819_R2_filtered.fastq.gz	SRR17060820_R2_filtered.fastq.gz	SRR17060821_R2_filtered.fastq.gz	SRR17060822_R2_filtered.fastq.gz	SRR17060823_R2_filtered.fastq.gz	SRR17060824_R2_filtered.fastq.gz	SRR17060825_R2_filtered.fastq.gz	SRR17060826_R2_filtered.fastq.gz	SRR17060827_R2_filtered.fastq.gz	SRR17060828_R2_filtered.fastq.gz	SRR17060829_R2_filtered.fastq.gz	SRR17060830_R2_filtered.fastq.gz	SRR17060831_R2_filtered.fastq.gz	SRR17060832_R2_filtered.fastq.gz	SRR17060833_R2_filtered.fastq.gz	SRR17060834_R2_filtered.fastq.gz	SRR17060835_R2_filtered.fastq.gz	SRR17060836_R2_filtered.fastq.gz	SRR17060837_R2_filtered.fastq.gz	SRR17060838_R2_filtered.fastq.gz	SRR17060839_R2_filtered.fastq.gz	SRR17060840_R2_filtered.fastq.gz	SRR17060841_R2_filtered.fastq.gz	SRR17060842_R2_filtered.fastq.gz	SRR17060843_R2_filtered.fastq.gz	SRR17060844_R2_filtered.fastq.gz	SRR17060845_R2_filtered.fastq.gz	SRR17060846_R2_filtered.fastq.gz	SRR17060847_R2_filtered.fastq.gz
ASV_122	0	0	0	0	0	0	951	2861	0	730	0	0	127	44	0	0	0	0	0	0	0	0	0	0	68	138	57	377	0	138	0	0
ASV_123	2725	489	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2128	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	1534	191	35	1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2367	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	0	0	0	0	0	0	688	129	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1072	922	324	1068	71	836	0	0
ASV_126	0	0	926	0	538	172	0	0	198	0	0	0	0	0	0	253	0	490	0	0	0	0	421	0	0	0	0	0	0	0	486	1848
ASV_127	0	147	1122	38	878	185	0	0	300	0	0	0	0	0	0	0	187	601	7	110	17	0	159	0	0	0	0	0	0	0	929	626
ASV_128	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	2716	2283	0	0	0	0
ASV_129	38	296	643	0	2013	200	0	0	609	0	0	0	0	0	0	0	72	264	0	0	0	0	0	0	0	0	0	0	0	0	861	274
ASV_130	502	300	241	0	876	672	0	0	549	0	0	0	0	0	0	477	293	376	0	182	0	0	0	0	0	0	0	0	0	0	467	298
ASV_131	2255	298	0	263	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2315	0	0	0	0	0	0	0	0	0	0	0	0
ASV_132	0	0	0	0	0	0	2107	545	0	1147	297	46	71	59	0	0	0	0	0	0	0	0	0	0	181	0	157	448	69	0	0	0
ASV_133	0	0	0	0	0	0	0	4763	0	0	31	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0
ASV_134	0	0	0	0	0	0	1260	334	0	617	1177	0	0	0	0	0	0	0	0	0	0	0	0	88	564	99	134	645	156	0	0	0
ASV_135	0	76	145	0	681	32	0	0	173	0	0	0	0	0	0	0	0	122	0	23	0	0	0	0	0	0	0	0	0	0	3372	321
ASV_136	0	0	196	0	582	393	0	0	1371	0	0	0	0	0	0	0	287	617	0	0	0	0	0	0	0	0	0	0	0	0	1110	378
ASV_137	0	63	36	0	474	55	0	0	121	0	0	0	0	0	0	0	26	57	0	0	0	0	0	0	0	0	0	0	0	0	2234	1866
ASV_138	0	0	0	0	0	0	687	1788	0	535	0	16	0	36	0	0	0	0	0	0	0	0	0	0	850	449	90	339	24	90	0	0
ASV_139	4144	575	24	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	3904	0	654	0	0	0	0	0	0	0	0	0
ASV_141	0	0	645	0	408	153	0	0	692	0	0	0	0	0	0	0	191	523	0	74	0	0	0	0	0	0	0	0	0	0	991	1102
ASV_142	799	98	0	508	0	111	0	0	0	0	0	0	0	0	36	0	113	0	104	2910	0	42	0	0	0	0	0	0	0	0	0	0
ASV_143	0	0	0	0	0	0	1091	1251	0	1181	0	0	1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1425	1522	878	738	0	53	0	0
ASV_145	0	0	509	0	135	76	0	0	185	0	0	0	0	0	0	1932	11	1063	0	0	0	0	272	0	0	0	0	0	0	0	361	55
